区域,名称,景点id,类型,级别,热度,地址,特色,经纬度
加泰罗尼亚·巴塞罗那,哥伦布纪念碑,1956941014,文化古迹,,热度 0.9,西班牙巴塞罗纳兰布拉大街尽头,巴塞罗那港的重要标志,"2.17776890000005,41.3758075"
广东·深圳·东部华侨城已下线子景点,大华兴寺,2623260770,文化古迹,,热度 0.0,广东省深圳市盐田区东部华侨城内,启迪心智、教化人生的宗教文化旅游园区,"114.293784,22.629795"
安徽·黄山·休宁县,枧潭,3932088169,文化古迹,,热度 0.0,安徽省黄山市休宁县蓝田镇,村庄古朴整洁，村民朴素热情,"118.16668,29.566888"
浙江·台州·蛇蟠岛,野人洞,963579402,文化古迹,,热度 0.0,浙江省台州市三门县蛇蟠岛度假区内,展示千年斧凿的奇迹，体会山野穴居的粗旷,"121.582806,29.141765"
广东·汕头·澄海区,科隆千树园,703451116,文化古迹,,热度 0.0,广东省汕头市澄海区广益街道官湖村,集旅游观光、休闲度假、植物科教于一体,"116.762682,23.508207"
上海·上海·朱家角古镇,圆津禅院,658709621,文化古迹,,热度 0.0,上海市青浦区朱家角镇泰安桥西堍漕河街187号,士大夫流连吟诵聚会的高雅之地,"121.061262,31.116267"
浙江·嘉兴·盐官观潮景区,金庸书院,2304191143,文化古迹,,热度 0.0,浙江省嘉兴海宁市盐官镇春熙路131号海宁盐官观潮景区,金庸先生回乡讲学、传播学术思想的圣地,"120.553221,30.408249"
江苏·苏州·周庄,迷楼,826614256,文化古迹,,热度 0.0,江苏省苏州昆山市周庄镇周庄风景区内中市街127号,酒不醉人人自醉，风景宜人亦迷人,"120.854453,31.117633"
浙江·金华·兰溪市,隆丰禅院,1243920822,文化古迹,,热度 0.0,浙江省金华兰溪市,静态的佛教艺术与动态的佛教文化相结合,"119.307214,29.252717"
河南·洛阳·宜阳县,洛阳灵山寺,3860365687,文化古迹,,热度 0.0,河南省洛阳市宜阳县城西7.5公里,寺里香火旺盛，烧香拜佛、求子祈福的好去处,"112.110552,34.512724"
广东·江门·开平市,开平碉庄,2243863360,文化古迹,,热度 0.0,广东省江门市开平市塘口镇自力村旁(近池塘),移步换景，景景相连，景在人中，人在景中,"112.58607,22.377672"
江苏·镇江·京口区,万佛塔,3242875139,文化古迹,,热度 0.0,江苏省镇江市京口区焦山公园,是一座明清式具有江南风格的仿古塔,"119.48628,32.242896"
上海·上海·南翔古镇,南翔老街,522809223,文化古迹,4A景区,热度 0.0,上海市嘉定区南翔镇解放街206号,古镇南翔历史、商贸、文化的缩影,"121.314684,31.297022"
广东·潮州·潮州古城,古城石牌坊,3398287540,文化古迹,,热度 0.0,广东省潮州市湘桥区,古城石牌坊气势轩昂，工艺精致,"116.654919,23.664694"
浙江·嘉兴·西塘古镇,倪宅,219924823,文化古迹,,热度 0.0,浙江省嘉善县西塘镇,浙江省十大廉政文化教育基地之一,"120.904343,30.950366"
云南·大理·宾川县,祝圣寺,1013554178,文化古迹,,热度 0.0,云南省大理宾川县南岳镇东街,是鸡足山一座庞大的建筑群,"100.38826,25.973478"
云南·大理·宾川县,金顶寺,2298931225,文化古迹,,热度 0.0,云南省大理市宾川县城牛井镇炼洞乡鸡足山天柱峰顶,门顶横列正脊，两端垂脊，飞檐翘角,"100.366683,25.976085"
湖南·常德·澧县,城头山遗址,3668250645,文化古迹,,热度 0.0,湖南省澧县车溪乡南岳村,在这发现距今6500多年的水稻田遗址,"111.667309,29.693949"
河南·郑州·嵩阳景区,会善寺,693165567,文化古迹,,热度 0.0,河南省郑州市登封市环山路,纳嵩山之灵气，造化佛教得道寿星,"113.011634,34.498125"
浙江·温州·永嘉县,苍坡村,1943227894,文化古迹,,热度 0.0,浙江省温州市永嘉县岩头镇,处处显示出浓郁的古意,"120.756624,28.366257"
安徽·亳州·谯城区,魏武祠,1750167126,文化古迹,3A景区,热度 0.0,安徽省亳州市谯城区芍花路曹操公园内,为世人还原立体、真实、完整的三国历史,"115.792164,33.856419"
浙江·宁波·慈城古县城,冯岳彩绘台门,2649232034,文化古迹,,热度 0.0,浙江省宁波市江北区慈城古县城,冯岳彩绘台门是明代刑部尚书冯岳故居的大门，于1610年由明神宗亲赐所建，其建筑主干上绘有各色生动活泼的图案，古色古香，雄,"121.461263,29.992354"
湖北·襄阳·襄城区,襄阳古城墙,3015066704,文化古迹,,热度 0.0,湖北省襄樊市襄阳区,感受古城的历史沧桑,"112.16333,32.016232"
浙江·宁波·余姚市,四明山地质公园,2540340599,文化古迹,,热度 0.0,浙江省宁波余姚市四明山镇大山村,集中展示古夷平面各类遗迹的自然山水景观,"119.034089,28.479885"
广西·柳州·柳城县,柳城崖山,2018507083,文化古迹,,热度 0.0,广西柳州市柳城县中寨村（洛崖知青城对岸）,山浮水绕、风景如画,"109.181605,24.671635"
夏威夷·火奴鲁鲁,伊奥拉尼宫,1659381490,文化古迹,,热度 0.0,"364 South King Street, Honolulu, HI, United States",美国皇家官邸，了解宫殿建筑及夏威夷皇室,"-157.8587697,21.3067572"
北京·北京·故宫,钟表馆,547084149,文化古迹,,热度 0.0,北京市东城区景山前街4号,风格各异、工艺精湛，具有很高的艺术价值,"116.403413,39.921947"
爱知县·名古屋,高山市古街,4118976672,文化古迹,,热度 0.0,日本名古屋岐阜縣高山市上一之町,当地著名的传统建造物群保存地区,"137.1882723,36.1881547"
天津·天津·河北区,天津袁世凯故居,1232299032,文化古迹,,热度 0.0,天津市河北区海河东路39号袁氏宅邸,天津袁世凯故居,"117.201975,39.14446"
湖南·岳阳,刘备洞,2508349283,文化古迹,,热度 0.0,岳阳县张谷英镇（原饶村乡）莲花湖村洞口湾,人文景观,"113.491016,29.009929"
布城,粉红清真寺,3860280511,文化古迹,,热度 0.0,"Persiaran Persekutuan, Presint 1, 62502 Putrajaya, Wilayah Persekutuan Putrajaya, 马来西亚",马来西亚布城的一所清真寺，位于布城湖旁,"101.689084954559,2.93595314817349"
威尼斯,威尼斯总督府,3654036318,文化古迹,,热度 0.0,"Piazza San Marco, 1, 30124 Venezia VE, 意大利",欣赏圣马可大教堂的穹顶和巨人阶梯,"12.3382007,45.4337035"
江苏·淮安,沈坤状元府景区,1444546700,文化古迹,,热度 0.0,江苏省淮安市淮安区河下古镇竹巷街39号沈坤状元府景区,临沈府、游寓园，令人回味无穷、流连忘返,"119.143783,33.534122"
湖南·长沙·浏阳市,王震故居,3666278630,文化古迹,,热度 0.0,湖南省浏阳市北盛镇马战村,湖南省爱国主义教育基地之一,"113.432373,28.254706"
湖北·荆州·荆州区,宾阳楼,973523888,文化古迹,,热度 0.0,湖北省荆州市荆州区内环北路与张居正街交叉口东50米,三国风云人物的气息,"112.222385,30.353953"
江苏·扬州·广陵区,阮家祠堂,4199621635,文化古迹,,热度 0.0,江苏省扬州市广陵区毓贤街6-8号,保存完好的清代祠堂建筑,"119.44297,32.397579"
吉林·延边·珲春市,土字碑,565561743,文化古迹,,热度 0.0,吉林省延边朝鲜族自治州珲春市防川土字碑,爱国主义教育基地和国防教育基地,"130.368526,42.866334"
江西·赣州·寻乌,石崆寨旅游景区,1035735375,文化古迹,,热度 0.0,江西省赣州市寻乌县留车镇雁洋村石崆寨旅游景区售票处,见证时光流转、沧海桑田的历史变迁,"115.650899,24.703481"
河南·开封·龙亭区,开封小宋城,4070928070,文化古迹,,热度 0.0,河南省开封市龙亭区大梁路与夷山大道交汇处西北角（中州国际酒店对面）,“开封人的待客厅”、“开封市的新名片”,"114.317314,34.808762"
福建·泉州·鲤城区,关帝庙,3288687871,文化古迹,,热度 0.0,福建省泉州市鲤城区涂门街188号（近清净寺）,泉州香火旺盛的地方,"118.599472,24.9077"
浙江·绍兴·嵊州市,嵊州越剧小镇,4282314147,文化古迹,,热度 0.0,浙江省嵊州市甘霖镇施家岙问越路1号（女子越剧诞生地）,以山水为承载、戏剧为核心的文化旅游小镇,"120.803051,29.553128"
浙江·湖州·安吉县,安吉落伽山,1337757531,文化古迹,,热度 0.0,浙江省湖州市安吉县山川乡境内,集多种自然生态景观为一体的风景名胜区,"119.657924,30.482074"
昆士兰·凯恩斯,帕罗尼拉公园,4012694452,文化古迹,,热度 0.0,"1671 Japoonvale Rd (Old Bruce Highway) Mena Creek, Queensland 4871澳大利亚  东南 15796 公里",梦幻般的城堡背后还有一个美丽浪漫的故事,"145.956308,-17.652344"
昆士兰·黄金海岸,莱明顿国家公园,1038718904,文化古迹,,热度 0.0,"Lahey Road Canungra | via Gold Coast Hinterland,Sth East Qld, Queensland 4002 , Australia",国家原始森林公园,"153.15,-28.2166667"
海南·三亚,三亚崖州古越文化旅游区,312680777,文化古迹,,热度 0.0,"吉阳区中廖村委会三公村旁三亚崖州古越文化旅游区（东线高速往五指山方向岔路口,市内坐9路公交车可直达景区门口）",这是旅游的艺术，更是您艺术的旅游,"109.630335,18.327767"
广东·肇庆·德庆县,玉龙寨,1942349552,文化古迹,,热度 0.0,广东省肇庆市德庆县悦城镇罗洪村,一个岭南古村落，该县农村综合改革示范村,"112.075099,23.110035"
英国,华威城堡,466487510,文化古迹,,热度 0.0,"Warwick Castle, Warwick, Warwickshire CV34 4QU, UK",沃里克的中世纪风格古堡,"-1.58522800000003,52.279668410249"
海南·陵水,南波湾海洋生态乐园,3273642719,文化古迹,4A景区,热度 0.0,海南省陵水县新村镇南湾半岛,保持良好海洋生态环境的海洋生态自然保护区,"109.979193,18.403286"
暹粒·暹粒,涅槃宫,3758988772,文化古迹,,热度 0.0,暹粒吴哥窟,雕饰严谨的拱顶，整体布局极具巧思,"103.8927289,13.463308"
辽宁·丹东,中朝边境一步跨,2348395752,文化古迹,,热度 0.0,辽宁省丹东市宽甸满族自治县319省道与滨海公路交叉口东南虎山长城内,一步就能跨到朝鲜,"124.529915,40.234105"
广西·崇左·凭祥市,大连城白玉洞,2845653429,文化古迹,,热度 0.0,广西省崇左凭祥市区1.5公里大连城遗山上,凭祥“三洞天”,"106.776492,22.131225"
重庆·重庆·武隆县,天福官驿,4043368413,文化古迹,,热度 0.0,重庆市武隆县巷口镇芙蓉路88号天生三桥内,古色古香的四合院,"107.804374,29.440157"
福建·福州·永泰县,嵩口古镇,789461103,文化古迹,,热度 0.0,福建省福州市永泰县西南部,南宋著名词人张元干、道教宗师张圣君的故乡,"118.601174,25.806573"
浙江·绍兴·安昌古镇,穗康钱庄,479519606,文化古迹,,热度 0.0,浙江省绍兴市绍兴县柯桥区安昌古镇内,江南水乡的特色之一就是桥多,"120.502755,30.142031"
奈良县·奈良·吉野山,吉水神社,3585223022,文化古迹,,热度 0.0,日本奈良县吉野山,坐落于吉野山，建立于1300年前,"135.86195,34.367278"
福建·厦门·思明区,一国两制沙滩,3254108409,文化古迹,,热度 0.0,福建省厦门市思明区环岛路会展中心往西,有“一国两制统一中国”巨大的标语,"118.179128,24.456403"
江西·上饶·婺源风景区,岭脚,2557056872,文化古迹,,热度 0.0,江西省上饶市婺源县浙源乡岭脚村,“吴楚分源第一村”,"117.928855,29.543934"
江苏·扬州·广陵区,武当行宫,4027366278,文化古迹,,热度 0.0,江苏省扬州市广陵区东关街300号（长乐客栈对面）,展示扬州道教文化的场所,"119.451948,32.403702"
浙江·宁波,溪口小洋房,2059168049,文化古迹,,热度 0.0,浙江省宁波市奉化市溪口镇武岭门（近文昌阁）,蒋经国之故居,"121.291333,29.688467"
北京·北京·东城区,阙左门（东阙门）,3752303319,文化古迹,,热度 0.0,北京市东城区劳动人民文化宫西门西侧,带你看历史文化古迹,"116.404442,39.91914"
四川·成都·大邑县,道源圣城文化景区,1698214700,文化古迹,,热度 0.0,四川成都大邑县鹤鸣乡三丰村,道教发源地，“道国仙都”、“华夏祖庭”,"103.420689,30.637363"
江苏·南京·栖霞区,达摩古洞,2545949717,文化古迹,,热度 0.0,江苏省南京市栖霞区幕燕滨江风貌区五马渡广场以东,禅宗文化与生态旅游的巧妙结合,"118.790208,32.129461"
泰国,花宫庙,2191683049,文化古迹,,热度 0.0,"Thapae Road, Amphoe Mueang Chiang Mai，Thailand",电影《泰囧》的拍摄地,"98.9983347,18.7879706"
湖北·宜昌·三峡人家,山上人家,2748390246,文化古迹,,热度 0.0,湖北省宜昌市夷陵区西陵峡三峡人家景区内,整个景区绿树葱葱，犹如进入了一个大氧吧,"111.1671,30.786024"
河北·石家庄·平山县,西柏坡,3766846113,文化古迹,5A景区,热度 0.0,河北省石家庄市平山县西柏坡村,新中国从这里走来,"113.948895,38.348613"
台湾·台中,彩虹眷村,109180769,文化古迹,,热度 0.0,408台湾台中市南屯區春安路56巷,生活在童话里的村庄,"120.609971,24.133942"
山东·聊城·东昌府区,中华水上古城,803088123,文化古迹,,热度 0.0,山东省聊城市东昌府区古楼西大街,赏古城美景，游特色古街,"115.970388,36.466968"
马德里自治区·马德里,德波神殿,3349819674,文化古迹,,热度 0.0,"Calle Ferraz, 1, 28008 Madrid",参观保存完好的千年古埃及神庙,"-3.717109,40.425396"
湖南·湘西·凤凰县,营盘寨,2592761334,文化古迹,,热度 0.0,湖南省湘西吉首市凤凰县都里乡营盘寨,独特建筑风貌的战争遗迹,"109.460187,27.934131"
四川·阿坝藏族羌族自治州·松潘县,松潘古城,2244956654,文化古迹,,热度 0.0,四川省阿坝州松潘县进安镇,边陲重镇，“川西门户”,"103.607198,32.646902"
河北·邯郸·临漳县,铜雀三台遗址公园,3319369850,文化古迹,,热度 0.0,河北省邯郸市临漳县香菜营乡,三国故地，六朝古都,"114.466345,36.316425"
陕西·西安·长安区,西安二郎山风景区,1511039366,文化古迹,,热度 0.0,陕西省西安市长安区二郎山风景区,山势雄奇秀丽,"109.029139,34.013422"
素叻府·苏梅岛,帕雅寺,2818067641,文化古迹,,热度 0.0,"Bo Phut, Koh Samui, Surat Thani",苏梅岛上出名地标和景点,"100.060081839562,9.57069392047622"
迪拜,阿拉伯历史建筑群,2408945952,文化古迹,,热度 0.0,"Al Hamriya, Bur Dubai",迪拜老城风光,"55.2998815327883,25.2643532596693"
马尼拉,王城（市中市）,245544562,文化古迹,,热度 0.0,"Intramuros, Manila, Metro Manila",感受复古的西班牙风情,"120.9700191,14.5891954"
江西·上饶·婺源风景区,婺源瑶湾景区,1056817234,文化古迹,,热度 0.0,江西上饶市婺源县考水村,影射出考水千年的大唐遗风、沧桑风貌,"117.764056,29.278491"
澳门·澳门,岗顶前地,3234277432,文化古迹,,热度 0.0,澳门半岛南部风顺堂区,自然环境清幽典雅，人文宗教景观荟萃,"113.549412,22.195356"
新疆·伊犁·昭苏县,格登碑,425249289,文化古迹,,热度 0.0,新疆伊犁昭苏县城以西60余公里处,一场具有决定意义的战役的见证,"80.499098,42.96101"
加利福尼亚州·洛杉矶,墨西哥街,4290154445,文化古迹,,热度 0.0,"845 North Alameda Street, Los Angeles, CA 90012",洛杉矶的发源地,"0.0,0.0"
日惹特区·日惹,日惹苏丹皇宫,2240267315,文化古迹,,热度 0.0,lndonesia(印度尼西亚以北),日惹文化和政治中心,"110.36569,-7.793533"
曼谷,皇家剧院,735031658,文化古迹,,热度 0.0,"66 Charoen Krung Road, Bangkok, Thailand",这栋泰国装饰艺术风格的建筑物位于曼谷唐人街区的边缘处。这里为泰国的古典舞蹈“Khon”的表演提供了一个盛大场地。在193,"4.315431,52.082104"
暹粒省·吴哥,吴哥寺,1945090022,文化古迹,,热度 0.0,"Angkor Wat, Siem Reap",吴哥窟乃至柬埔寨的象征,"116.2845783,39.809572"
南岛·达尼丁,拉纳克城堡,2347241481,文化古迹,,热度 0.0,145 Camp Road，Otago Peninsula，Dunedin 9077 Otago，New Zealand,华丽的装饰和独特的建筑风格,"170.627502,-45.861607"
山西·临汾·襄汾县,龙澍峪风景区,2081612998,文化古迹,,热度 0.0,山西省临汾市襄汾县黄崖村,洞天福地，祈福朝觐者不可胜数,"111.324405,35.996032"
浙江·绍兴·绍兴古城,范文澜故居,1774322620,文化古迹,,热度 0.0,浙江省绍兴市越城区胜利西路500号,绍兴市级文物保护单位,"120.546367,30.013098"
河南·信阳·商城县,金刚台（西河）生态旅游区,843811285,文化古迹,,热度 0.0,河南省信阳市商城县苏仙石乡,信阳毛尖高山绿茶原产地,"115.592134,31.794773"
贵州·贵阳·花溪区,贵阳花溪福泽园,2179565931,文化古迹,,热度 0.0,贵阳市花溪区福泽路,陵园经营与旅游相结合,"106.694907,26.430727"
利古里亚·五渔村,马纳罗拉,4094014013,文化古迹,,热度 0.0,意大利利古里亚,马纳罗拉小镇位于意大利利古里亚，这是一个处于悬崖上的小镇。海边的马纳罗拉（Manarola）火车站，站台上就可以看见美丽,"9.73389369999995,44.1115594"
利古里亚·五渔村,科尔尼利亚,3678675135,文化古迹,,热度 0.0,"Corniglia, Province of La Spezia, Italy",五渔村五镇之一,"9.7103440661316,44.1201247273421"
江苏·徐州,蟠桃山佛教文化景区,3016059144,文化古迹,4A景区,热度 0.0,江苏省徐州经济技术开发区宝莲寺路,汉唐建筑风格，宏伟大气，震撼人心,"117.275513,34.301023"
广东·梅州·梅县,桥溪古韵,1007189139,文化古迹,,热度 0.0,广东省梅县雁洋镇长教村,广东省古村落,"116.375616,24.37905"
湖北·荆州·荆州区,荆州九老仙都景区,510155045,文化古迹,,热度 0.0,湖北省荆州市荆北路38号（盆景园入口）,真正了解到荆楚文化的博大精深,"112.204656,30.363502"
陕西·延安·宜川县,宜川县第二战区司令长官部秋林旧址,233016474,文化古迹,3A景区,热度 0.0,陕西省延安市宜川县秋林镇秋林街,共御敌戎的这一段历史,"110.27315,36.088703"
京都府·京都府,地主神社,898727805,文化古迹,,热度 0.0,日本京都府京都市東山区清水１丁目３１７,日本京都府京都市东山区的神社,"135.785014935276,34.9952134"
东京·富士山,忍野八海,515558260,文化古迹,,热度 0.0,"〒401-0511 山梨県南都留郡忍野村忍草（日本〒401-0511 Yamanashi Prefecture, Minamitsuru District, 忍野村忍草）",因错落有致地散布着八个清泉而得名,"138.8328042,35.4604466"
爱知县·名古屋,名古屋城,1686185571,文化古迹,,热度 0.0,愛知県名古屋市中区本丸1−1,德川家康、织田信长曾经的出生地,"136.9003,35.183765"
雅加达,雅加达老城区,3407100840,文化古迹,,热度 0.0,印度尼西亚  雅加达  ,雅加达的老城区域在雅加达北部，靠近唐人街，这里有着浓郁的荷占时期的城市韵味，格局鲜明。,"112.469025,34.683647"
爱丁堡,爱丁堡地牢,3983743823,文化古迹,,热度 0.0,"31 Market Street, Edinburgh EHI IQB, Scotland",把您带到古代苏格兰真实的地下世界,"-3.190778,55.95108"
圣地亚哥省·圣地亚哥,圣地亚哥航空航天博物馆,3413065479,文化古迹,,热度 0.0,"2001 Pan American Plaza, Balboa Park, San Diego, CA 92101",包含了许多历史悠久的飞机和航天器,"-117.153779,32.726818"
京都府·京都,三年坂二年坂,3133640434,文化古迹,,热度 0.0,〒605-0826 京都府京都市東山区桝屋町清水2丁目/〒605-0862 京都府京都市東山区清水２丁目221,小石头坡道两侧都是木质结构的老房子,"135.780877545322,34.9963445216807"
京都府·京都,贵船神社,773931431,文化古迹,,热度 0.0,日本京都 601-1112左京区鞍马贵船町180,邂逅你的姻缘，实现你的梦想，祭祀神灵,"135.762916666667,35.1218611111111"
京都府·京都,青莲院,27023449,文化古迹,,热度 0.0,日本京都 605-0035栗田口三条坊町69-1,天台宗京都五门迹之一,"135.783161,35.007312"
暹粒省·暹粒,比粒寺,2772088880,文化古迹,,热度 0.0,Angkor Wat,神之神殿,"103.9205797,13.4349637"
江西·吉安·青原区,中国富田景区,1644165387,文化古迹,,热度 0.0,江西省吉安市青原区富田镇,一幅山水洞天，色彩斑斓的自然风景画,"115.255428,26.82452"
河北·张家口·暖泉古镇,天下第一堡,129382916,文化古迹,,热度 0.0,河北省张家口蔚县暖泉镇,保留完好的堡,"114.458012,39.815419"
新疆·吐鲁番,吐鲁番台藏塔遗址,2688590318,文化古迹,,热度 0.0,新疆维吾尔自治区吐鲁番市三堡乡尤喀买里村,高昌三国时期的佛教建筑,"89.52734,42.876443"
云南·丽江·古城区,白沙古镇,744407337,文化古迹,,热度 0.0,云南省丽江市玉龙纳西族自治县白沙乡,丽江三大古镇之一,"100.222781,26.959918"
浙江·宁波·慈城古县城,慈城县衙,1525812466,文化古迹,,热度 0.0,浙江省宁波市江北区慈城古镇内,知县房琯所建,"121.45678,29.994997"
云南·大理·巍山,巍山古城,582024818,文化古迹,,热度 0.0,云南省大理白族自治州巍山彝族回族自治县S224,大理南诏文化的发源地,"100.313587,25.233429"
陕西·渭南·潼关县,潼关黄河湾,1402514285,文化古迹,,热度 0.0,陕西省渭南市潼关收费站500米处,河出潼关，因有太华抵抗而益增其奔猛,"110.295018,34.614821"
贵州·遵义·绥阳县,十二背后∙清溪峡景区,1464617645,文化古迹,,热度 0.0,贵州省遵义市绥阳县青杠塘镇,一个被美伤害的地方,"107.085415,28.29726"
内蒙古·包头·达尔罕旗,红格尔敖包景区,402096948,文化古迹,,热度 0.0,内蒙古包头达尔罕茂明安联合旗希拉穆仁草原,置身成吉思汗时期战火硝烟的感觉,"111.200184,41.405805"
曼德勒,固都陶寺院,986332289,文化古迹,,热度 0.0,"Mandalay, Myanmar",是一座静谧却充满传奇的寺庙,"96.113019,22.004255"
顺化,天姥寺,996466799,文化古迹,,热度 0.0,"Kim Long, tp. Huế, Thừa Thiên Huế,Vietnam.",越南著名的建筑，为广南国和阮朝的皇家寺院,"107.5450448,16.452421"
庞培,庞贝古城遗址,1173015871,文化古迹,,热度 0.0,"Via Villa dei Misteri, 3, 80045 Pompei Napoli",一座历史悠久的古城，避暑胜地,"14.480985,40.74872"
琅勃拉邦,迈佛寺,3431829720,文化古迹,,热度 0.0,洋人（西萨旺冯）街上，王宫博物馆西侧,随时光倒流回到古印度，见证着史诗般的岁月,"102.134675452709,19.89314814693"
阿布扎比,阿布扎比大清真寺,3166891567,文化古迹,,热度 0.0,2nd Shaikh Rashid Bin Saeed Al Maktoum Street - أبو ظبي,阿联酋的标志性建筑,"54.4749583,24.4124531"
库萨达斯·以弗所,以弗所古城,1913245098,文化古迹,,热度 0.0,"Ephesus, Turkey",是体验和感受罗马时代生活的好地方,"27.3676405928321,37.9489311907895"
马六甲,宝山亭,662220233,文化古迹,,热度 0.0,马六甲三保山的西南山麓,由第八任甲必丹漳州海澄人蔡士章创建,"102.255464728207,2.19601212155468"
清迈府·清迈,悟孟寺,3364184172,文化古迹,,热度 0.0,"Suthep Rd, Soi Wat Umong T.Suthep",绝世静谧、古朴清幽,"98.9511935,18.7833398"
兵库县·神户,姬路城,1583371571,文化古迹,,热度 0.0,"日本兵库县姬路市 Honmachi, 68",日本首批世界文化遗产之一,"134.693905368447,34.8394483661379"
湖北·咸宁·咸安区,大汉皇族村,1376255632,文化古迹,,热度 0.0,湖北省咸宁市咸安区S209,极具楚南文化特色,"114.677789,29.661957"
四川·甘孜州·色达县,色达喇荣五明佛学院,3879091341,文化古迹,,热度 0.0,四川省甘孜藏族自治州色达县炉色路,大型佛学院,"100.462021,32.143414"
曼谷,美功铁道市场,2433237771,文化古迹,,热度 0.0,"ซอย ศรีจำปา ตำบล แม่กลอง อำเภอเมืองสมุทรสงคราม สมุทรสงคราม（ซอย ศรีจำปา Tambon Mae Klong, Amphoe Mueang Samut Songkhram, Chang Wat Samut Songkhram）",铁轨上的集市,"99.9987629875541,13.4074813689751"
曼谷,云石寺,3893125883,文化古迹,,热度 0.0,"69 Sydney Road, Bangkok 10300",是19世纪泰国佛教的典范,"100.5141364,13.7665353"
上海·上海·金山区,金山嘴渔村,2465832481,文化古迹,,热度 0.0,上海市金山区山阳镇沪杭公路6394号,滨临杭州湾畔，沪杭公路北侧，与大海仅一步之遥，与海中的金山三岛隔海相望。品种多样、味道鲜美的海鲜美食是渔村的一大特色，海,"121.382702,30.738369"
四川·甘孜州·稻城亚丁,冲古寺,1966685717,文化古迹,,热度 0.0,四川省甘孜藏族自治州稻城县稻城亚丁景区内,佛教寺庙，可远眺三座护法神山圣地,"100.346262,28.461075"
四川·乐山·乐山大佛,乌尤寺,1925447525,文化古迹,,热度 0.0,四川省乐山市市中区乐山大佛景区内,绿瓦红墙，掩映其间，景色佳丽,"103.779368,29.541195"
四川·广元·元坝区,柏林沟古镇,2324153190,文化古迹,,热度 0.0,四川广元市所辖的元坝区,是为葭萌故地，柏林沟有五岚胜迹,"105.886972,32.091494"
河南·郑州·巩义市,杜甫故里,1447682976,文化古迹,,热度 0.0,河南省巩义市站街镇杜甫前街中段南瑶湾村,瞻仰杜甫形象，学习杜甫精神的人文基地,"113.06871,34.801209"
广东·汕头·南澳县,南澳总兵府,743509778,文化古迹,,热度 0.0,广东省汕头市南澳县,海岛总兵府，历史文化的内涵丰富,"117.108124,23.458542"
浙江·绍兴·安昌古镇,师爷馆,3321939265,文化古迹,,热度 0.0,浙江省绍兴市绍兴县安昌镇西街84,“绍兴师爷”荟萃之地，展示师爷深厚根基,"120.493344,30.145978"
河北·沧州·河间市,沧州河间府署,1512207039,文化古迹,,热度 0.0,河北沧州河间市红牌楼街河间府署景区,与保定、大名、开封合称京南四大名府,"116.099646,38.441998"
新疆·吐鲁番·吐鲁番市,坎儿井传承区,1285221384,文化古迹,,热度 0.0,新疆吐鲁番市高昌区五道林004乡道,参观传承展馆、瞻仰将军林、邓小平观井点,"89.088912,42.989097"
安徽·黄山·黟县,西递景区,1680658771,文化古迹,,热度 0.0,安徽省黄山市黟县西递镇西递村,古朴典雅，底蕴深厚,"118.00355,29.910232"
上海·上海·金山区,丁蹄作坊,1254729830,文化古迹,,热度 0.0,上海市金山区枫泾镇南大街149号(近致和桥),典型的江南水乡集镇,"121.01987,30.891633"
湖南·湘西·凤凰县,西门峡漂流,3933796552,文化古迹,,热度 0.0,湖南省湘西州凤凰县吉信镇,和龙王滩一道堪称国内漂流之经典,"109.62073,28.115699"
浙江·台州·台州天台山,天台山赤城山,3439675793,文化古迹,4A景区,热度 0.72,浙江省台州市天台县赤城街道,不与众山同一色，敢于平地拔千仞,"121.03294,29.172423"
暹粒省·吴哥,吴哥窟,268658374,文化古迹,,热度 0.0,亚洲-柬埔寨,是世界上规模较大的庙宇，建筑雄伟精致,"103.86058,13.425142"
吉林·延边,中国朝鲜族非物质文化遗产展览馆,3517233664,文化古迹,,热度 0.0,吉林延边朝鲜族自治州图们市 图们江公园广场,少数民族中的非物质文化遗产展览馆,"129.83891,42.972737"
山东·烟台·昆嵛山国家森林公园,九龙池,1461206594,文化古迹,,热度 0.0,山东省烟台市牟平区,天生地就，奇险妙绝,"121.702638,37.301922"
甘肃·武威·凉州区,白塔寺遗址,3891140186,文化古迹,4A景区,热度 0.78,甘肃省武威市凉州区白塔村,白塔寺遗址是藏传佛教的重要寺院,"102.746596,37.77264"
广东·清远·连州市,湟川三峡,2397938855,文化古迹,4A景区,热度 0.72,广东省清远连州市九陂镇龙潭管理区连江河段,湟川三峡多美景，湟川文化更悠久,"112.418323,24.768381"
湖北·宜昌·秭归县,屈原故里,90148686,文化古迹,5A景区,热度 0.74,湖北省宜昌市秭归县城西部,是新三峡十景之一,"110.992628,30.830342"
辽宁·大连,大连旅顺西炮台风景区,3268129611,文化古迹,,热度 0.0,辽宁省大连旅顺口区茂林街27号,沙俄战炮战略堡垒,"121.228685,38.811461"
湖南·长沙·花明楼景区,刘少奇纪念馆,4141763061,文化古迹,,热度 0.0,湖南省长沙市宁乡县花明楼镇炭子冲村,与名人对话，传播红色文化,"112.651848,28.037236"
云南·大理·大理市,大理金光寺,885332951,文化古迹,3A景区,热度 0.7,云南省大理白族自治州永平县境内,金光寺位于东宁县城西3公里绥芬河市左岸的山坡上。四周为果园和耕地，红墙绿树，掩映生辉。南北均有道路与县城相连，交通方便。,"99.543087229838,25.199592792775"
